ec	substrate	substrate_normalized
1.14.19.36	a 1-alpha-linolenoyl-2-acyl-[glycerolipid]	a 1-alpha-linolenoyl-2-acyl-[glycerolipid]
1.14.19.36	a 1-gamma-linolenoyl 2-acyl-sn-glycerol 3-phosphate	a 1-gamma-linolenoyl 2-acyl-sn-glycerol 3-phosphate
1.14.19.36	a 1-gamma-linolenoyl-2-acyl-[glycerolipid]	a 1-gamma-linolenoyl-2-acyl-[glycerolipid]
1.14.19.36	a 1-linoleoyl 2-acyl-sn-glycerol 3-phosphate	a 1-linoleoyl 2-acyl-sn-glycerol 3-phosphate
1.14.19.36	a 1-linoleoyl-2-acyl-[glycerolipid]	a 1-linoleoyl-2-acyl-[glycerolipid]
1.14.19.36	a 1-stearidonoyl 2-acyl-sn-glycerol 3-phosphate	a 1-stearidonoyl 2-acyl-sn-glycerol 3-phosphate
1.14.19.36	a 1-stearidonoyl-2-acyl-[glycerolipid]	a 1-stearidonoyl-2-acyl-[glycerolipid]
1.14.19.36	oxidized ferredoxin	oxidized ferredoxin
1.14.19.36	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.36	reduced ferredoxin	reduced ferredoxin
1.14.19.36	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.37	(11Z,14Z)-icosa-11,14-dienoyl-CoA	(11z,14z)-icosa-11,14-dienoyl-coa
1.14.19.37	(11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA	(11z,14z,17z)-icosa-11,14,17-trienoyl-coa
1.14.19.37	(5Z,11Z,14Z)-icosa-5,11,14-trienoyl-CoA	(5z,11z,14z)-icosa-5,11,14-trienoyl-coa
1.14.19.37	(5Z,11Z,14Z,17Z)-icosa-5,11,14,17-tetraenoyl-CoA	(5z,11z,14z,17z)-icosa-5,11,14,17-tetraenoyl-coa
1.14.19.37	Eicosatrienoyl-CoA	eicosatrienoyl-coa
1.14.19.37	eicosatrienoyl-CoA	eicosatrienoyl-coa
1.14.19.38	(9Z,12Z)-octadeca-9,12-dien-6-ynoyl-[glycerolipid]	(9z,12z)-octadeca-9,12-dien-6-ynoyl-[glycerolipid]
1.14.19.38	(9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoyl-[glycerolipid]	(9z,12z,15z)-octadeca-9,12,15-trien-6-ynoyl-[glycerolipid]
1.14.19.38	ferricytochrome b5	ferricytochrome b5
1.14.19.38	ferrocytochrome b5	ferrocytochrome b5
1.14.19.38	gamma-linolenoyl-[glycerolipid]	gamma-linolenoyl-[glycerolipid]
1.14.19.38	stearidonoyl-[glycerolipid]	stearidonoyl-[glycerolipid]
1.14.19.39	9,12,15-hexadecatrienoate	9,12,15-hexadecatrienoate
1.14.19.39	AH2	ah2
1.14.19.39	H2O  | product enantiomers in a ration of 3:1 |	h2o | product enantiomers in a ration of 3:1 |
1.14.19.39	H2O  | the product is n-1 polyunsaturated |	h2o | the product is n-1 polyunsaturated |
1.14.19.39	alpha-linoleoyl-[glycerolipid]	alpha-linoleoyl-[glycerolipid]
1.14.19.39	crepenynate	crepenynate
1.14.19.39	crepenynyl-[glycerolipid]	crepenynyl-[glycerolipid]
1.14.19.39	cytochrome b5	cytochrome b5
1.14.19.39	ferricytochrome b5	ferricytochrome b5
1.14.19.39	ferrocytochrome b5	ferrocytochrome b5
1.14.19.39	hexadecadienoic acid	hexadecadienoic acid
1.14.19.39	hexadecatrienoic acid	hexadecatrienoic acid
1.14.19.39	linoleate	linoleate
1.14.19.39	linoleic acid	linoleic acid
1.14.19.39	linolenic acid	linolenic acid
1.14.19.39	linoleoyl-[glycerolipid]	linoleoyl-[glycerolipid]
1.14.19.39	oleate	oleate
1.14.19.39	oleoyl-[glycerolipid]	oleoyl-[glycerolipid]
1.14.19.39	palmitoleic acid	palmitoleic acid
1.14.19.39	palmitoleoate	palmitoleoate
1.14.19.39	phosphatidylcholine	phosphatidylcholine
1.14.19.39	reduced cytochrome b5	reduced cytochrome b5
1.14.19.4	(2S,3R)-2-aminoicosane-1,3-diol	(2s,3r)-2-aminoicosane-1,3-diol
1.14.19.4	(2S,3R,4E,8E)-2-aminooctadeca-4,8-diene-1,3-diol	(2s,3r,4e,8e)-2-aminooctadeca-4,8-diene-1,3-diol
1.14.19.4	(8E)-4-hydroxy-8-sphingenine	(8e)-4-hydroxy-8-sphingenine
1.14.19.4	(8Z)-4-hydroxy-8-sphingenine	(8z)-4-hydroxy-8-sphingenine
1.14.19.4	(E)-(2S,3R)-2-aminoicos-8-ene-1,3-diol	(e)-(2s,3r)-2-aminoicos-8-ene-1,3-diol
1.14.19.4	(E)-9-fluoro-8-phytosphingenine	(e)-9-fluoro-8-phytosphingenine
1.14.19.4	(E)-sphing-4-enine	(e)-sphing-4-enine
1.14.19.4	(R)-9-fluorophytosphinganine	(r)-9-fluorophytosphinganine
1.14.19.4	(S)-8-fluorophytosphinganine	(s)-8-fluorophytosphinganine
1.14.19.4	(S)-9-fluorophytosphinganine	(s)-9-fluorophytosphinganine
1.14.19.4	(Z)-(2S,3R)-2-aminoicos-8-ene-1,3-diol	(z)-(2s,3r)-2-aminoicos-8-ene-1,3-diol
1.14.19.4	(Z)-8-fluoro-8-phytosphingenine	(z)-8-fluoro-8-phytosphingenine
1.14.19.4	(Z)-9-fluoro-8-phytosphingenine	(z)-9-fluoro-8-phytosphingenine
1.14.19.4	11,14,17-eicosatrienoic acid	11,14,17-eicosatrienoic acid
1.14.19.4	11,14-eicosadienoic acid	11,14-eicosadienoic acid
1.14.19.4	11-eicosenoic acid	11-eicosenoic acid
1.14.19.4	4-hydroxy-trans-8-sphingenine	4-hydroxy-trans-8-sphingenine
1.14.19.4	4-hydroxysphinganine	4-hydroxysphinganine
1.14.19.4	8,11,14,17-eicosatetraenoic acid	8,11,14,17-eicosatetraenoic acid
1.14.19.4	8,11,14-eicosatrienoic acid	8,11,14-eicosatrienoic acid
1.14.19.4	8,11-eicosadienoic acid	8,11-eicosadienoic acid
1.14.19.4	DELTA4,8-sphingadienine	delta4,8-sphingadienine
1.14.19.4	DELTA4-sphingenine	delta4-sphingenine
1.14.19.4	DELTA8-phytosphingenine	delta8-phytosphingenine
1.14.19.4	DELTA8-sphingenine	delta8-sphingenine
1.14.19.4	H2O  | production of two water molecules in the reaction |	h2o | production of two water molecules in the reaction |
1.14.19.4	H2O | production of two water molecules in the reaction |	h2o | production of two water molecules in the reaction |
1.14.19.4	cis-8-sphingenine	cis-8-sphingenine
1.14.19.4	phytosphinganine	phytosphinganine
1.14.19.4	sphinganine	sphinganine
1.14.19.4	trans-8-sphingenine	trans-8-sphingenine
1.14.19.40	hex-5-enoyl-[acyl-carrier protein CamC]	hex-5-enoyl-[acyl-carrier protein camc]
1.14.19.40	hex-5-enoyl-[acyl-carrier protein JamC]	hex-5-enoyl-[acyl-carrier protein jamc]
1.14.19.40	hex-5-ynoyl-[acyl-carrier protein CamC]	hex-5-ynoyl-[acyl-carrier protein camc]
1.14.19.40	hex-5-ynoyl-[acyl-carrier protein JamC]	hex-5-ynoyl-[acyl-carrier protein jamc]
1.14.19.40	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.40	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.41	22,23-dihydrobrassicasterol	22,23-dihydrobrassicasterol
1.14.19.41	24-epi-campesterol	24-epi-campesterol
1.14.19.41	24-methylcholesterol	24-methylcholesterol
1.14.19.41	?  |#14# brassicasterol is the major product | <4,11,13>	? |#14# brassicasterol is the major product | <4,11,13>
1.14.19.41	H2O  | brassicasterol is the major product |	h2o | brassicasterol is the major product |
1.14.19.41	beta-sitosterol	beta-sitosterol
1.14.19.41	brassicasterol	brassicasterol
1.14.19.41	clionasterol	clionasterol
1.14.19.41	crinosterol	crinosterol
1.14.19.41	ergosta-5,7,22,24(28)-tetraen-3-beta-ol	ergosta-5,7,22,24(28)-tetraen-3-beta-ol
1.14.19.41	ergosta-5,7,22,24(28)-tetraen-3beta-ol	ergosta-5,7,22,24(28)-tetraen-3beta-ol
1.14.19.41	ergosta-5,7,24(28)-trien-3beta-ol	ergosta-5,7,24(28)-trien-3beta-ol
1.14.19.41	ergosta-5,7-dien-3beta-ol	ergosta-5,7-dien-3beta-ol
1.14.19.41	ergosta-5,7-dienol	ergosta-5,7-dienol
1.14.19.41	ergosterol	ergosterol
1.14.19.41	poriferasterol	poriferasterol
1.14.19.41	sitosterol	sitosterol
1.14.19.41	stigmasta-5,22-dien-3beta-ol	stigmasta-5,22-dien-3beta-ol
1.14.19.41	stigmasterol	stigmasterol
1.14.19.42	1-acyl-2-[(7Z)-hexadec-7-enoyl]-[glycerolipid]	1-acyl-2-[(7z)-hexadec-7-enoyl]-[glycerolipid]
1.14.19.42	1-acyl-2-palmitoleoyl-[glycerolipid]	1-acyl-2-palmitoleoyl-[glycerolipid]
1.14.19.42	1-acyl-2-palmitoyl-[glycerolipid]	1-acyl-2-palmitoyl-[glycerolipid]
1.14.19.42	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.42	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.43	1-acyl-2-[(3E)-hexadec-3-enoyl]-[glycerolipid]	1-acyl-2-[(3e)-hexadec-3-enoyl]-[glycerolipid]
1.14.19.43	1-acyl-2-palmitoyl-[glycerolipid]	1-acyl-2-palmitoyl-[glycerolipid]
1.14.19.43	22:4(n-6)	22:4(n-6)
1.14.19.43	22:5(n-3)	22:5(n-3)
1.14.19.43	docosa-4,7,10,13,16,19-hexaenoic acid	docosa-4,7,10,13,16,19-hexaenoic acid
1.14.19.43	docosa-4,7,10,13,16-pentaenoic acid	docosa-4,7,10,13,16-pentaenoic acid
1.14.19.43	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.43	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.44	(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyl-CoA	(5z,8z,11z,14z,17z)-icosa-5,8,11,14,17-pentaenoyl-coa
1.14.19.44	(8Z,11Z,14Z)-icosa-8,11,14-trienoyl-CoA	(8z,11z,14z)-icosa-8,11,14-trienoyl-coa
1.14.19.44	(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA	(8z,11z,14z,17z)-icosa-8,11,14,17-tetraenoyl-coa
1.14.19.44	5,8,11-eicosatrienoic acid	5,8,11-eicosatrienoic acid
1.14.19.44	8,11-eicosadienoic acid	8,11-eicosadienoic acid
1.14.19.44	alpha-linolenic acid	alpha-linolenic acid
1.14.19.44	alpha-linolenoyl-CoA	alpha-linolenoyl-coa
1.14.19.44	arachidonic acid	arachidonic acid
1.14.19.44	arachidonic acid-phospholipid	arachidonic acid-phospholipid
1.14.19.44	arachidonoic acid	arachidonoic acid
1.14.19.44	arachidonoyl-CoA	arachidonoyl-coa
1.14.19.44	dihomo-gamma linolenoyl-CoA	dihomo-gamma linolenoyl-coa
1.14.19.44	dihomo-gamma-linolenic acid	dihomo-gamma-linolenic acid
1.14.19.44	dihomo-gamma-linolenoic acid	dihomo-gamma-linolenoic acid
1.14.19.44	dihomo-gamma-linolenoyl-CoA	dihomo-gamma-linolenoyl-coa
1.14.19.44	dihomo-gamma-linolenoyl-phospholipid	dihomo-gamma-linolenoyl-phospholipid
1.14.19.44	docosahexanoyl-CoA	docosahexanoyl-coa
1.14.19.44	docosapentaenoyl-CoA	docosapentaenoyl-coa
1.14.19.44	eicosapentaenoic acid	eicosapentaenoic acid
1.14.19.44	eicosapentaenoyl-CoA	eicosapentaenoyl-coa
1.14.19.44	eicosapentaenoyl-phospholipid	eicosapentaenoyl-phospholipid
1.14.19.44	eicosatetraenoic acid	eicosatetraenoic acid
1.14.19.44	eicosatetraenoyl-CoA	eicosatetraenoyl-coa
1.14.19.44	eicosatetraenoyl-phospholipid	eicosatetraenoyl-phospholipid
1.14.19.44	ferricytochrome b5	ferricytochrome b5
1.14.19.44	ferrocytochrome b5	ferrocytochrome b5
1.14.19.44	linoleic acid	linoleic acid
1.14.19.45	1-linoleoyl-2-acyl-[glycerolipid]	1-linoleoyl-2-acyl-[glycerolipid]
1.14.19.45	1-oleoyl-2-acyl-[glycerolipid]	1-oleoyl-2-acyl-[glycerolipid]
1.14.19.45	a 1-linoleoyl-2-acyl-[glycerolipid]	a 1-linoleoyl-2-acyl-[glycerolipid]
1.14.19.45	a 1-oleoyl-2-acyl-[glycerolipid]	a 1-oleoyl-2-acyl-[glycerolipid]
1.14.19.45	linoleic acid	linoleic acid
1.14.19.45	oleic acid	oleic acid
1.14.19.45	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.45	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.46	1-gamma-linolenoyl-2-acyl-[glycerolipid]	1-gamma-linolenoyl-2-acyl-[glycerolipid]
1.14.19.46	1-linoleoyl-2-acyl-[glycerolipid]	1-linoleoyl-2-acyl-[glycerolipid]
1.14.19.46	gamma-linolenic acid	gamma-linolenic acid
1.14.19.46	linoleic acid	linoleic acid
1.14.19.46	oxidized ferredoxin [iron-sulfur] cluster	oxidized ferredoxin [iron-sulfur] cluster
1.14.19.46	reduced ferredoxin [iron-sulfur] cluster	reduced ferredoxin [iron-sulfur] cluster
1.14.19.47	alpha-linolenoyl-[glycerolipid]	alpha-linolenoyl-[glycerolipid]
1.14.19.47	ferricytochrome b5	ferricytochrome b5
1.14.19.47	ferrocytochrome b5	ferrocytochrome b5
1.14.19.47	gamma-linolenoyl-[glycerolipid]	gamma-linolenoyl-[glycerolipid]
1.14.19.47	linoleoyl-[glycerolipid]	linoleoyl-[glycerolipid]
1.14.19.47	stearidonoyl-[glycerolipid]	stearidonoyl-[glycerolipid]
1.14.19.48	3-methyl-1-penten-3-ol	3-methyl-1-penten-3-ol
1.14.19.48	3-methyl-3-pentanol	3-methyl-3-pentanol
1.14.19.48	isoprenyl alcohol	isoprenyl alcohol
1.14.19.48	tert-amyl alcohol	tert-amyl alcohol
1.14.19.49	(4S)-tetracycline	(4s)-tetracycline
1.14.19.49	7-chloro-(4S)-tetracycline	7-chloro-(4s)-tetracycline
1.14.19.49	7-chlorotetracycline	7-chlorotetracycline
1.14.19.49	chloride	chloride
1.14.19.49	tetracycline	tetracycline
1.14.19.5	(11E)-tetradec-11-enoic acid	(11e)-tetradec-11-enoic acid
1.14.19.5	(11Z)-enoyl-CoA	(11z)-enoyl-coa
1.14.19.5	(9Z)-tetradecenoyl-CoA	(9z)-tetradecenoyl-coa
1.14.19.5	(9Z,11Z)-9,11-tetradecadienoyl-CoA	(9z,11z)-9,11-tetradecadienoyl-coa
1.14.19.5	(E)-11-tetradecenoate	(e)-11-tetradecenoate
1.14.19.5	(E)-tetradec-11-enoic acid	(e)-tetradec-11-enoic acid
1.14.19.5	(E)-tridec-11-enoyl-CoA	(e)-tridec-11-enoyl-coa
1.14.19.5	(E,E)-10,12-tetradecadienoyl-CoA	(e,e)-10,12-tetradecadienoyl-coa
1.14.19.5	(Z)-11-hexadecenoic acid	(z)-11-hexadecenoic acid
1.14.19.5	(Z)-11-hexadecenoyl-CoA	(z)-11-hexadecenoyl-coa
1.14.19.5	(Z)-11-octadecenoyl-CoA	(z)-11-octadecenoyl-coa
1.14.19.5	(Z)-11-palmitvaccenoyl-CoA	(z)-11-palmitvaccenoyl-coa
1.14.19.5	(Z)-11-tetradecenoate	(z)-11-tetradecenoate
1.14.19.5	(Z)-11-tetradecenoyl-CoA	(z)-11-tetradecenoyl-coa
1.14.19.5	(Z)-11-vaccenoyl-CoA	(z)-11-vaccenoyl-coa
1.14.19.5	(Z)-hexadec-11-enoic acid	(z)-hexadec-11-enoic acid
1.14.19.5	(Z)-hexadec-11-enoyl-CoA	(z)-hexadec-11-enoyl-coa
1.14.19.5	(Z)-tetradec-11-enoic acid	(z)-tetradec-11-enoic acid
1.14.19.5	(Z)-tridec-11-enoyl-CoA	(z)-tridec-11-enoyl-coa
1.14.19.5	AH2	ah2
1.14.19.5	H2O |#6# in the ratio 7:1 | <6,9>	h2o |#6# in the ratio 7:1 | <6,9>
1.14.19.5	acyl-CoA	acyl-coa
1.14.19.5	ferricytochrome b5	ferricytochrome b5
1.14.19.5	ferrocytochrome b5	ferrocytochrome b5
1.14.19.5	hexadec-11-enoic acid	hexadec-11-enoic acid
1.14.19.5	methyl (11E)-tetradec-11-enoate	methyl (11e)-tetradec-11-enoate
1.14.19.5	methyl (11Z)-tetradec-11-enoate	methyl (11z)-tetradec-11-enoate
1.14.19.5	methyl myristate	methyl myristate
1.14.19.5	myristic acid	myristic acid
1.14.19.5	myristoyl-CoA	myristoyl-coa
1.14.19.5	octadecanoyl-CoA	octadecanoyl-coa
1.14.19.5	oleic acid	oleic acid
1.14.19.5	oleoyl-CoA	oleoyl-coa
1.14.19.5	palmitic acid	palmitic acid
1.14.19.5	palmitoyl-CoA	palmitoyl-coa
1.14.19.5	reduced electron acceptor	reduced electron acceptor
1.14.19.5	stearic acid	stearic acid
1.14.19.5	stearoyl-CoA	stearoyl-coa
1.14.19.5	tetradec-11-enoic acid	tetradec-11-enoic acid
1.14.19.5	tetradecanoic acid	tetradecanoic acid
1.14.19.5	tetradecanoyl-CoA	tetradecanoyl-coa
1.14.19.5	tridecanoyl-CoA	tridecanoyl-coa
1.14.19.50	(4aR,10bS)-noroxomaritidine	(4ar,10bs)-noroxomaritidine
1.14.19.50	(4aS,10bR)-noroxomaritidine	(4as,10br)-noroxomaritidine
1.14.19.50	(R)-coclaurine	(r)-coclaurine
1.14.19.50	(S)-Coclaurine	(s)-coclaurine
1.14.19.50	(S)-coclaurine	(s)-coclaurine
1.14.19.50	4'-O-methyl-N-methylnorbelladine	4'-o-methyl-n-methylnorbelladine
1.14.19.50	4'-O-methylnorbelladine	4'-o-methylnorbelladine
1.14.19.50	H2O | formation of the para-ortho phenol coupled product, N-demethylnarwedine, at less than 1% of the total product |	h2o | formation of the para-ortho phenol coupled product, n-demethylnarwedine, at less than 1% of the total product |
1.14.19.50	N-demethylnarwedine	n-demethylnarwedine
1.14.19.51	(R,S)-codamine	(r,s)-codamine
1.14.19.51	(R,S)-norreticuline	(r,s)-norreticuline
1.14.19.51	(S)-N-methylcoclaurine	(s)-n-methylcoclaurine
1.14.19.51	(S)-corytuberine	(s)-corytuberine
1.14.19.51	(S)-orientaline	(s)-orientaline
1.14.19.51	(S)-reticuline	(s)-reticuline
1.14.19.51	2,10-dimethoxy-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-1,11-diol	2,10-dimethoxy-5,6,6a,7-tetrahydro-4h-dibenzo[de,g]quinoline-1,11-diol
1.14.19.51	2,11-dimethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-1,10-diol	2,11-dimethoxy-6-methyl-5,6,6a,7-tetrahydro-4h-dibenzo[de,g]quinoline-1,10-diol
1.14.19.51	H2O | 19% of the activity with reticuline |	h2o | 19% of the activity with reticuline |
1.14.19.51	H2O | 2% of the activity with reticuline |	h2o | 2% of the activity with reticuline |
1.14.19.51	H2O | 2.7% of the activity with reticuline |	h2o | 2.7% of the activity with reticuline |
1.14.19.51	N-methylcoclaurine	n-methylcoclaurine
1.14.19.51	asimilobine	asimilobine
1.14.19.51	lirindine	lirindine
1.14.19.51	norcoclaurine	norcoclaurine
1.14.19.52	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)acetonitrile	2-(cystein-s-yl)-2-(1h-indol-3-yl)acetonitrile
1.14.19.52	camalexin	camalexin
1.14.19.52	hydrogen cyanide	hydrogen cyanide
1.14.19.53	all-trans-3,4-dehydroretinaldehyde	all-trans-3,4-dehydroretinaldehyde
1.14.19.53	all-trans-3,4-dehydroretinoic acid	all-trans-3,4-dehydroretinoic acid
1.14.19.53	all-trans-3,4-didehydroretinal	all-trans-3,4-didehydroretinal
1.14.19.53	all-trans-3,4-didehydroretinoic acid	all-trans-3,4-didehydroretinoic acid
1.14.19.53	all-trans-3,4-didehydroretinol	all-trans-3,4-didehydroretinol
1.14.19.53	all-trans-retinal	all-trans-retinal
1.14.19.53	all-trans-retinaldehyde	all-trans-retinaldehyde
1.14.19.53	all-trans-retinaldehyde from cellular retinol-binding protein-1	all-trans-retinaldehyde from cellular retinol-binding protein-1
1.14.19.53	all-trans-retinoic acid	all-trans-retinoic acid
1.14.19.53	all-trans-retinoic acid from cellular retinoic acid-binding protein-1	all-trans-retinoic acid from cellular retinoic acid-binding protein-1
1.14.19.53	all-trans-retinoic acid from cellular retinoic acid-binding protein-2	all-trans-retinoic acid from cellular retinoic acid-binding protein-2
1.14.19.53	all-trans-retinol	all-trans-retinol
1.14.19.53	all-trans-retinol from cellular retinol-binding protein-1	all-trans-retinol from cellular retinol-binding protein-1
1.14.19.53	oxidized adrenodoxin	oxidized adrenodoxin
1.14.19.53	reduced adrenodoxin	reduced adrenodoxin
1.14.19.54	(S)-3'-hydroxy-N-methylcoclaurine	(s)-3'-hydroxy-n-methylcoclaurine
1.14.19.54	(S)-N-methylcoclaurine	(s)-n-methylcoclaurine
1.14.19.54	(S)-norreticuline	(s)-norreticuline
1.14.19.54	(S)-reticuline	(s)-reticuline
1.14.19.54	1,2-dehydronorreticuline	1,2-dehydronorreticuline
1.14.19.54	1,2-dehydroreticuline	1,2-dehydroreticuline
1.14.19.55	2,4-dibromo-6-hydroxyphenol	2,4-dibromo-6-hydroxyphenol
1.14.19.55	2,4-dibromophenol	2,4-dibromophenol
1.14.19.55	2,4-dihydroxybenzoate	2,4-dihydroxybenzoate
1.14.19.55	2,4-diiodophenol	2,4-diiodophenol
1.14.19.55	3,4-dihydroxybenzoate	3,4-dihydroxybenzoate
1.14.19.55	3-bromo-4-hydroxybenzoate	3-bromo-4-hydroxybenzoate
1.14.19.55	4-bromo-2-hydroxyphenol	4-bromo-2-hydroxyphenol
1.14.19.55	4-hydroxybenzoate	4-hydroxybenzoate
1.14.19.55	bromide	bromide
1.14.19.55	iodide	iodide
1.14.19.56	1H-pyrrole-2-carbonyl-[PltL peptidyl-carrier protein]	1h-pyrrole-2-carbonyl-[pltl peptidyl-carrier protein]
1.14.19.56	4,5-dibromo-1H-pyrrole-2-carbonyl-[PltL peptidyl-carrier protein]	4,5-dibromo-1h-pyrrole-2-carbonyl-[pltl peptidyl-carrier protein]
1.14.19.56	4,5-dichloro-1H-pyrrole-2-carbonyl-[PltL peptidyl-carrier protein]	4,5-dichloro-1h-pyrrole-2-carbonyl-[pltl peptidyl-carrier protein]
1.14.19.56	5-chloro-1H-pyrrole-2-carbonyl-[PltL peptidyl-carrier protein]	5-chloro-1h-pyrrole-2-carbonyl-[pltl peptidyl-carrier protein]
1.14.19.56	bromide	bromide
1.14.19.56	chloride	chloride
1.14.19.57	1H-pyrrole-2-carbonyl-[Bmp1 peptidyl-carrier protein]	1h-pyrrole-2-carbonyl-[bmp1 peptidyl-carrier protein]
1.14.19.57	3,4,5-tribromo-1H-pyrrole-2-carbonyl-[Bmp1 peptidyl-carrier protein]	3,4,5-tribromo-1h-pyrrole-2-carbonyl-[bmp1 peptidyl-carrier protein]
1.14.19.57	4,5-dibromo-1H-pyrrole-2-carbonyl-[Bmp1 peptidyl-carrier protein]	4,5-dibromo-1h-pyrrole-2-carbonyl-[bmp1 peptidyl-carrier protein]
1.14.19.57	5-bromo-1H-pyrrole-2-carbonyl-[Bmp1 peptidyl-carrier protein]	5-bromo-1h-pyrrole-2-carbonyl-[bmp1 peptidyl-carrier protein]
1.14.19.57	bromide	bromide
1.14.19.58	3-indolepropionate	3-indolepropionate
1.14.19.58	5,7-dichloro-L-tryptophan	5,7-dichloro-tryptophan
1.14.19.58	5-bromo-L-tryptophan	5-bromo-tryptophan
1.14.19.58	5-chloro-3-indolepropionate	5-chloro-3-indolepropionate
1.14.19.58	5-chloro-D-tryptophan	5-chloro-tryptophan
1.14.19.58	5-chloro-L-tryptophan	5-chloro-tryptophan
1.14.19.58	5-chloro-N-phenylanthranilate	5-chloro-n-phenylanthranilate
1.14.19.58	5-chloro-anthranilamide	5-chloro-anthranilamide
1.14.19.58	5-chloro-anthranilate	5-chloro-anthranilate
1.14.19.58	5-chloro-indole	5-chloro-indole
1.14.19.58	5-chloro-indole-3-acetamide	5-chloro-indole-3-acetamide
1.14.19.58	5-chloro-indole-3-acetonitrile	5-chloro-indole-3-acetonitrile
1.14.19.58	5-chloro-indole-3-ethanol	5-chloro-indole-3-ethanol
1.14.19.58	5-chloro-kynurenine	5-chloro-kynurenine
1.14.19.58	5-chloro-tryptamine	5-chloro-tryptamine
1.14.19.58	5-chloroindole	5-chloroindole
1.14.19.58	5-chloroindole-3-acetamide	5-chloroindole-3-acetamide
1.14.19.58	5-chloroindole-3-acetic acid	5-chloroindole-3-acetic acid
1.14.19.58	5-chloroindole-3-acetonitrile	5-chloroindole-3-acetonitrile
1.14.19.58	5-chloroindole-3-ethanol	5-chloroindole-3-ethanol
1.14.19.58	5-hydroxy-L-tryptophan	5-hydroxy-tryptophan
1.14.19.58	5-iodo-L-tryptophan	5-iodo-tryptophan
1.14.19.58	6-chloro-3-indolepropionate	6-chloro-3-indolepropionate
1.14.19.58	7-chloro-5-hydroxy-L-tryptophan	7-chloro-5-hydroxy-tryptophan
1.14.19.58	7-chloro-L-tryptophan	7-chloro-tryptophan
1.14.19.58	Br-	br-
1.14.19.58	Cl-	cl-
1.14.19.58	D-tryptophan	tryptophan
1.14.19.58	L-tryptophan	tryptophan
1.14.19.58	N-phenylanthranilate	n-phenylanthranilate
1.14.19.58	anthranilamide	anthranilamide
1.14.19.58	anthranilate	anthranilate
1.14.19.58	bromide	bromide
1.14.19.58	chloride	chloride
1.14.19.58	indole	indole
1.14.19.58	indole-3-acetamide	indole-3-acetamide
1.14.19.58	indole-3-acetic acid	indole-3-acetic acid
1.14.19.58	indole-3-acetonitrile	indole-3-acetonitrile
1.14.19.58	indole-3-ethanol	indole-3-ethanol
1.14.19.58	iodide	iodide
1.14.19.58	kynurenine	kynurenine
1.14.19.58	lantibiotic NAI-107-[5-chlorotryptophan]	lantibiotic nai-107-[5-chlorotryptophan]
1.14.19.58	lantibiotic NAI-107-[tryptophan]	lantibiotic nai-107-[tryptophan]
1.14.19.58	tryptamine	tryptamine
1.14.19.59	3-indolepropionate	3-indolepropionate
1.14.19.59	3-indolepropionic acid	3-indolepropionic acid
1.14.19.59	5-bromo-L-tryptophan	5-bromo-tryptophan
1.14.19.59	5-chloro-3-indolepropionate	5-chloro-3-indolepropionate
1.14.19.59	5-chloro-L-kynurenine	5-chloro-kynurenine
1.14.19.59	5-chloro-N-phenylanthranilate	5-chloro-n-phenylanthranilate
1.14.19.59	5-chloro-anthranilamide	5-chloro-anthranilamide
1.14.19.59	5-chloro-anthranilate	5-chloro-anthranilate
1.14.19.59	5-chloro-kynurenine	5-chloro-kynurenine
1.14.19.59	5-hydroxy-L-tryptophan	5-hydroxy-tryptophan
1.14.19.59	6,7-dichloro-L-tryptophan	6,7-dichloro-tryptophan
1.14.19.59	6-aminoquinolone	6-aminoquinolone
1.14.19.59	6-bromo-L-tryptophan	6-bromo-tryptophan
1.14.19.59	6-chloro-3-indolepropionate	6-chloro-3-indolepropionate
1.14.19.59	6-chloro-3-indolepropionic acid	6-chloro-3-indolepropionic acid
1.14.19.59	6-chloro-D-tryptophan	6-chloro-tryptophan
1.14.19.59	6-chloro-L-tryptophan	6-chloro-tryptophan
