id,name,unit_name,emptyspace,fakerank
96268,C23:0,MG,,63001
96269,C24:0,MG,,63001
96270,C24:0 /100g FA,MG,,63001
96271,C24:0 ex Br /100g FA,MG,,63001
96272,C24:1 /100g FA,MG,,63001
96273,C24:1 cis,MG,,63001
96274,C24:1 trans,MG,,63001
96275,"C24:1,n-9",MG,,63001
96276,C24:2 n-6 ciscis,MG,,63001
96277,C25:0,MG,,63001
96278,C25:0 ex Br /100g FA,MG,,63001
96279,C26:0,MG,,63001
96280,C4:0,MG,,63001
96281,C4:0 /100g FA,MG,,63001
96282,C6:0,MG,,63001
96283,C6:0 /100g FA,MG,,63001
96284,C8:0,MG,,63001
96285,C8:0 /100g FA,MG,,63001
96286,Cadaverin,MG,,63001
96287,Cadaverine,MG,,63001
96288,CADAVT,MG,,63001
96289,CAFFAC,MG,,63001
96290,CAFFAC.1,MG,,63001
96291,CAFFN,MG,,63001
96292,CAMT,MG,,63001
96293,CAROT,MG,,63001
96294,CARTA,MG,,63001
96295,CARTB,MG,,63001
96296,CARTBCIS,MG,,63001
96297,CARTBEQ,MG,,63001
96298,CARTBTOT,MG,,63001
96299,CARTBTRANS,MG,,63001
96300,CARTG,MG,,63001
96301,CAS_Nr,MG,,63001
96302,CASN,MG,,63001
96303,CATEC,MG,,63001
96304,Catechol,MG,,63001
96305,CATECT,MG,,63001
96306,CELLU,MG,,63001
96307,Chalcones,MG,,63001
96308,ChEBI,MG,,63001
96309,ChEMBL,MG,,63001
96310,CHITIN,MG,,63001
96311,CHLNP,MG,,63001
96312,CHLRAC,MG,,63001
96313,CHO,MG,,63001
96314,CHO-,MG,,63001
96315,CHOAVL,MG,,63001
96316,CHOAVL-,MG,,63001
96317,CHOAVLDF,MG,,63001
96318,CHOAVLM,MG,,63001
96319,CHOAVLO,MG,,63001
96320,CHOCAL,MG,,63001
96321,CHOCAL(IU),MG,,63001
96322,CHOCALOH,MG,,63001
96323,CHOCDF,MG,,63001
96324,CHOL-,MG,,63001
96325,CHOLE,MG,,63001
96326,Cholecalciferol,MG,,63001
96327,Cholecalciferol (Vit D3),MG,,63001
96328,CHOLEST,MG,,63001
96329,Cholestérol,MG,,63001
96330,Cholin,MG,,63001
96331,Choline and derivatives,MG,,63001
96332,CHOLN,MG,,63001
96333,CHORL,MG,,63001
96334,CHOT,MG,,63001
96335,CINAC,MG,,63001
96336,Cinnamtannin A2,MG,,63001
96337,cis C10:1 /100g FA,MG,,63001
96338,cis C12:1 /100g FA,MG,,63001
96339,cis C14:1 /100g FA,MG,,63001
96340,cis C15:1 /100g FA,MG,,63001
96341,cis C16:1 /100g FA,MG,,63001
96342,cis C16:2 /100g FA,MG,,63001
96343,cis C16:3 /100g FA,MG,,63001
96344,cis C16:4 /100g FA,MG,,63001
96345,cis C17:1 /100g FA,MG,,63001
96346,cis C18:1 /100g FA,MG,,63001
96347,cis C20:1 /100g FA,MG,,63001
96348,cis C22:1 /100g FA,MG,,63001
96349,cis C24:1 /100g FA,MG,,63001
96350,cis n-3 C18:3 /100g FA,MG,,63001
96351,cis n-3 C18:4 /100g FA,MG,,63001
96352,cis n-3 C20:5 /100g FA,MG,,63001
96353,cis n-3 C21:5 /100g FA,MG,,63001
96354,cis n-3 C22:5 /100g FA,MG,,63001
96355,cis n-3 C22:6 /100g FA,MG,,63001
96356,cis n-6 C18:2 /100g FA,MG,,63001
96357,cis n-6 C18:3 /100g FA,MG,,63001
96358,cis n-6 C20:2 /100g FA,MG,,63001
96359,cis n-6 C20:3 /100g FA,MG,,63001
96360,cis n-6 C20:4 /100g FA,MG,,63001
96361,cis n-6 C22:2 /100g FA,MG,,63001
96362,cis n-6 C22:3 /100g FA,MG,,63001
96363,cis n-6 C22:4 /100g FA,MG,,63001
96364,cis-beta-Caroten,MG,,63001
96365,cis-Mono FA /100g FA,MG,,63001
96366,cis-Polyu FA /100g FA,MG,,63001
96367,cis/trans C18:1n-7 /100g FA,MG,,63001
96368,cis/trans C18:1n-9 /100g FA,MG,,63001
96369,cis/trans C22:1n-11 /100g FA,MG,,63001
96370,cis/trans C22:1n-9 /100g FA,MG,,63001
96371,CITAC,MG,,63001
96372,Citronsyre,MG,,63001
96373,CLD,MG,,63001
96374,cLogP,MG,,63001
96375,Cobalamin (Vit B12),MG,,63001
96376,Cobolt,MG,,63001
96377,Comments,MG,,63001
96378,Compiler,MG,,63001
96379,Component,MG,,63001
96380,Component in English,MG,,63001
96381,Component in French,MG,,63001
96382,Composant en anglais,MG,,63001
96383,Composant en français,MG,,63001
96384,compound,MG,,63001
96385,const_nom_eng,MG,,63001
96386,"Country, region",MG,,63001
96387,Crude fibre,MG,,63001
96388,Cryptoxanthins,MG,,63001
96389,CRYPX,MG,,63001
96390,CRYPXA,MG,,63001
96391,CRYPXB,MG,,63001
96392,Cuivre,MG,,63001
96393,CYAN,MG,,63001
96394,CYS,MG,,63001
96395,CYS_A_MET,MG,,63001
96396,CYSTE,MG,,63001
96397,Cystin,MG,,63001
96398,D-mælkesyre,MG,,63001
96399,d-Viniferin,MG,,63001
96400,D-vitamin,MG,,63001
96401,D2-vitamin,MG,,63001
96402,D22D1N7,MG,,63001
96403,D3-vitamin,MG,,63001
96404,Dehydroascorbinsyre,MG,,63001
96405,Dehydroretinol,MG,,63001
96406,Delta-tocopherol,MG,,63001
96407,Delta-tocophérol,MG,,63001
96408,delta-Tokoferol,MG,,63001
96409,DEN,MG,,63001
96410,Denominator,MG,,63001
96411,Density,MG,,63001
96412,DFE,MG,,63001
96413,DGLY,MG,,63001
96414,Dietary fibre,MG,,63001
96415,Dietary fibre and starch,MG,,63001
96416,Dietary fibre fractions,MG,,63001
96417,"Dietary fibre, fibre, dietary fibre fractions",MG,,63001
96418,Dihydroflavonols,MG,,63001
96419,DISAC,MG,,63001
96420,DOPN,MG,,63001
96421,Dry matter,MG,,63001
96422,DRYMAT,MG,,63001
96423,e-Viniferin,MG,,63001
96424,E-vitamin,MG,,63001
96425,EBG,MG,,63001
96426,Eddikesyre,MG,,63001
96427,ELLAC,MG,,63001
96428,ENERC,MG,,63001
96429,ENERCC,MG,,63001
96430,ENERCJ,MG,,63001
96431,EPICATEC,MG,,63001
96432,ERGCAL,MG,,63001
96433,ERGCALOH,MG,,63001
96434,Ergocalciferol (Vit D2),MG,,63001
96435,ERGSTR,MG,,63001
96436,Esculetin,MG,,63001
96437,Esculin,MG,,63001
96438,Exact match,MG,,63001
96439,Exact Match (Yes/No),MG,,63001
96440,F10:0,MG,,63001
96441,F10:1CIS,MG,,63001
96442,F10:1TRS,MG,,63001
96443,F10D0,MG,,63001
96444,F10D1,MG,,63001
96445,F11:0,MG,,63001
96446,F11D0,MG,,63001
96447,F12:0,MG,,63001
96448,F12:1CIS,MG,,63001
96449,F12:1TRS,MG,,63001
96450,F12D0,MG,,63001
96451,F12D1,MG,,63001
96452,F13:0,MG,,63001
96453,F13D0,MG,,63001
96454,F13D0I,MG,,63001
96455,F14:0,MG,,63001
96456,F14:1CIS,MG,,63001
96457,F14:1CN5,MG,,63001
96458,F14:1TN5,MG,,63001
96459,F14:1TRS,MG,,63001
96460,F14D0,MG,,63001
96461,F14D0I,MG,,63001
96462,F14D1,MG,,63001
96463,F14D1C,MG,,63001
96464,F14D1CN5,MG,,63001
96465,F14D1N5,MG,,63001
96466,F14D1N7,MG,,63001
96467,F14D1N9,MG,,63001
96468,F14D1T,MG,,63001
96469,F15:0,MG,,63001
96470,F15:1CIS,MG,,63001
96471,F15D0,MG,,63001
96472,F15D0AI,MG,,63001
96473,F15D0I,MG,,63001
96474,F15D1,MG,,63001
96475,F15D1C,MG,,63001
96476,F15D1N10,MG,,63001
96477,F15D1N6,MG,,63001
96478,F15D1N7,MG,,63001
96479,F15D1N8,MG,,63001
96480,F15D1N9,MG,,63001
96481,F16:0,MG,,63001
96482,F16:1CIS,MG,,63001
96483,F16:1CN7,MG,,63001
96484,F16:1TN7,MG,,63001
96485,F16:1TRS,MG,,63001
96486,F16D0,MG,,63001
96487,F16D0AI,MG,,63001
96488,F16D0I,MG,,63001
96489,F16D1,MG,,63001
96490,F16D1C,MG,,63001
96491,F16D1CN7,MG,,63001
96492,F16D1CN9,MG,,63001
96493,F16D1N11,MG,,63001
96494,F16D1N5,MG,,63001
96495,F16D1N5_A_F16D1N7,MG,,63001
96496,F16D1N7,MG,,63001
96497,F16D1N7_A_F16D1N9,MG,,63001
96498,F16D1N8,MG,,63001
96499,F16D1N9,MG,,63001
96500,F16D1T,MG,,63001
96501,F16D1TN7,MG,,63001
96502,F16D2,MG,,63001
96503,F16D2N4,MG,,63001
96504,F16D2N6,MG,,63001
96505,F16D2N7,MG,,63001
96506,F16D2N9,MG,,63001
96507,F16D3N3,MG,,63001
96508,F16D3N4,MG,,63001
96509,F16D3N6,MG,,63001
96510,F16D4,MG,,63001
96511,F16D4N1,MG,,63001
96512,F16D4N3,MG,,63001
96513,F17:0,MG,,63001
96514,F17:1CIS,MG,,63001
96515,F17D0,MG,,63001
96516,F17D0AI,MG,,63001
96517,F17D0I,MG,,63001
96518,F17D1,MG,,63001
96519,F17D1C,MG,,63001
96520,F17D1CN7,MG,,63001
96521,F17D1CN8,MG,,63001
96522,F17D1N10,MG,,63001
96523,F17D1N5,MG,,63001
96524,F17D1N7,MG,,63001
96525,F17D1N8,MG,,63001
96526,F17D1N9,MG,,63001
96527,F17D2,MG,,63001
96528,F18:0,MG,,63001
96529,F18:1CIS,MG,,63001
96530,F18:1CN12,MG,,63001
96531,F18:1CN7,MG,,63001
96532,F18:1CN9,MG,,63001
96533,F18:1TRS,MG,,63001
96534,F18:2CN6,MG,,63001
96535,F18:2CN9,MG,,63001
96536,F18:2CON,MG,,63001
96537,F18:2CT,MG,,63001
96538,F18:2R,MG,,63001
96539,F18:2TC,MG,,63001
96540,F18:2TRS,MG,,63001
96541,F18:2TTN6,MG,,63001
96542,F18:3CN3,MG,,63001
96543,F18:3CN6,MG,,63001
96544,F18:3TRS,MG,,63001
96545,F18:3TTTN3,MG,,63001
96546,F18:4CN3,MG,,63001
96547,F18D0,MG,,63001
96548,F18D0AI,MG,,63001
96549,F18D0I,MG,,63001
96550,F18D1,MG,,63001
96551,F18D1-,MG,,63001
96552,F18D1C,MG,,63001
96553,F18D1CN11,MG,,63001
96554,F18D1CN3,MG,,63001
96555,F18D1CN4,MG,,63001
96556,F18D1CN5,MG,,63001
96557,F18D1CN6,MG,,63001
96558,F18D1CN7,MG,,63001
96559,F18D1CN9,MG,,63001
96560,F18D1N11,MG,,63001
96561,F18D1N5,MG,,63001
96562,F18D1N6,MG,,63001
96563,F18D1N7,MG,,63001
96564,F18D1N7_A_F18D1N9,MG,,63001
96565,F18D1N9,MG,,63001
96566,F18D1T,MG,,63001
96567,F18D1TN10_A_F18D1TN12,MG,,63001
96568,F18D1TN11,MG,,63001
96569,F18D1TN2,MG,,63001
96570,F18D1TN3,MG,,63001
96571,F18D1TN4_A_F18D1TN5,MG,,63001
96572,F18D1TN6,MG,,63001
96573,F18D1TN7,MG,,63001
96574,F18D1TN8,MG,,63001
96575,F18D1TN9,MG,,63001
96576,F18D2,MG,,63001
96577,F18D2C9T11,MG,,63001
96578,F18D2C9T11_A_F18D2T10C12,MG,,63001
96579,F18D2CN6,MG,,63001
96580,F18D2N4,MG,,63001
96581,F18D2N5,MG,,63001
96582,F18D2N6,MG,,63001
96583,F18D2T,MG,,63001
96584,F18D2T10C12,MG,,63001
96585,F18D2TCON,MG,,63001
96586,F18D2TN6,MG,,63001
96587,F18D2TTN6,MG,,63001
96588,F18D3,MG,,63001
96589,F18D3CN3,MG,,63001
96590,F18D3CN6,MG,,63001
96591,F18D3N3,MG,,63001
96592,F18D3N4,MG,,63001
96593,F18D3N6,MG,,63001
96594,F18D3TN3,MG,,63001
96595,F18D4,MG,,63001
96596,F18D4CN3,MG,,63001
96597,F18D4N1,MG,,63001
96598,F18D4N3,MG,,63001
96599,F18D4N6,MG,,63001
96600,F19:0,MG,,63001
96601,F19D0,MG,,63001
96602,F19D1N10,MG,,63001
96603,F19D1N11,MG,,63001
96604,F20:0,MG,,63001
