id,name,unit_name,source
103256,Kostfibre og stivelse,MG,Frida_5.5_Dataset.ods
103257,Krom,MG,Frida_5.5_Dataset.ods
103258,Kviksølv,MG,Frida_5.5_Dataset.ods
103259,L-mælkesyre,MG,Frida_5.5_Dataset.ods
103260,LACAC,MG,Frida_5.5_Dataset.ods
103261,LACACD,MG,Frida_5.5_Dataset.ods
103262,LACACL,MG,Frida_5.5_Dataset.ods
103263,LACS,MG,Frida_5.5_Dataset.ods
103264,LACTL,MG,Frida_5.5_Dataset.ods
103265,LEU,MG,Frida_5.5_Dataset.ods
103266,LIGN,MG,Frida_5.5_Dataset.ods
103267,LYS,MG,Frida_5.5_Dataset.ods
103268,Lactitol,MG,Frida_5.5_Dataset.ods
103269,Laktitol,MG,Frida_5.5_Dataset.ods
103270,Laktose,MG,Frida_5.5_Dataset.ods
103271,Language,MG,Frida_5.5_Dataset.ods
103272,Lav molekylevægt opløselige kostfibre,MG,Frida_5.5_Dataset.ods
103273,Leucin,MG,Frida_5.5_Dataset.ods
103274,Lysin,MG,Frida_5.5_Dataset.ods
103275,MALS,MG,Frida_5.5_Dataset.ods
103276,MALTL,MG,Frida_5.5_Dataset.ods
103277,MANTL,MG,Frida_5.5_Dataset.ods
103278,MET,MG,Frida_5.5_Dataset.ods
103279,MK10,MG,Frida_5.5_Dataset.ods
103280,MK4,MG,Frida_5.5_Dataset.ods
103281,MK5,MG,Frida_5.5_Dataset.ods
103282,MK6,MG,Frida_5.5_Dataset.ods
103283,MK7,MG,Frida_5.5_Dataset.ods
103284,MK8,MG,Frida_5.5_Dataset.ods
103285,MK9,MG,Frida_5.5_Dataset.ods
103286,MNSAC,MG,Frida_5.5_Dataset.ods
103287,Macro nutrients etc.,MG,Frida_5.5_Dataset.ods
103288,Makronæringstoffer m.m.,MG,Frida_5.5_Dataset.ods
103289,Maltitol,MG,Frida_5.5_Dataset.ods
103290,Mangan,MG,Frida_5.5_Dataset.ods
103291,Massefylde,MG,Frida_5.5_Dataset.ods
103292,Max,MG,Frida_5.5_Dataset.ods
103293,Median,MG,Frida_5.5_Dataset.ods
103294,Menaquinon 10,MG,Frida_5.5_Dataset.ods
103295,Menaquinon 4,MG,Frida_5.5_Dataset.ods
103296,Menaquinon 5,MG,Frida_5.5_Dataset.ods
103297,Menaquinon 6,MG,Frida_5.5_Dataset.ods
103298,Menaquinon 7,MG,Frida_5.5_Dataset.ods
103299,Menaquinon 8,MG,Frida_5.5_Dataset.ods
103300,Menaquinon 9,MG,Frida_5.5_Dataset.ods
103301,Menaquinone 10,MG,Frida_5.5_Dataset.ods
103302,Menaquinone 4,MG,Frida_5.5_Dataset.ods
103303,Menaquinone 5,MG,Frida_5.5_Dataset.ods
103304,Menaquinone 6,MG,Frida_5.5_Dataset.ods
103305,Menaquinone 7,MG,Frida_5.5_Dataset.ods
103306,Menaquinone 8,MG,Frida_5.5_Dataset.ods
103307,Menaquinone 9,MG,Frida_5.5_Dataset.ods
103308,Methionin,MG,Frida_5.5_Dataset.ods
103309,Min,MG,Frida_5.5_Dataset.ods
103310,Mineraler og uorganisk,MG,Frida_5.5_Dataset.ods
103311,Minerals and inorganic,MG,Frida_5.5_Dataset.ods
103312,Molybdæn,MG,Frida_5.5_Dataset.ods
103313,Monoumættede fedtsyrer,MG,Frida_5.5_Dataset.ods
103314,Mælkesyre,MG,Frida_5.5_Dataset.ods
103315,Mættede fedtsyrer,MG,Frida_5.5_Dataset.ods
103316,NACL,MG,Frida_5.5_Dataset.ods
103317,NCBI,MG,Frida_5.5_Dataset.ods
103318,NCF,MG,Frida_5.5_Dataset.ods
103319,NIAEQ,MG,Frida_5.5_Dataset.ods
103320,NICOTAC,MG,Frida_5.5_Dataset.ods
103321,Natrium,MG,Frida_5.5_Dataset.ods
103322,Neutral detergent fibre,MG,Frida_5.5_Dataset.ods
103323,Niacinækvivalent,MG,Frida_5.5_Dataset.ods
103324,Nikkel,MG,Frida_5.5_Dataset.ods
103325,Not used,MG,Frida_5.5_Dataset.ods
103326,NumberOfDeterminations,MG,Frida_5.5_Dataset.ods
103327,Nøglehulsmærket,MG,Frida_5.5_Dataset.ods
103328,OXALAC,MG,Frida_5.5_Dataset.ods
103329,Ophavsret og copyright,MG,Frida_5.5_Dataset.ods
103330,Organiske syrer,MG,Frida_5.5_Dataset.ods
103331,Ornithine,MG,Frida_5.5_Dataset.ods
103332,Ornitin,MG,Frida_5.5_Dataset.ods
103333,Oxalsyre,MG,Frida_5.5_Dataset.ods
103334,PANTAC,MG,Frida_5.5_Dataset.ods
103335,PHE,MG,Frida_5.5_Dataset.ods
103336,PHETN,MG,Frida_5.5_Dataset.ods
103337,PRO,MG,Frida_5.5_Dataset.ods
103338,PROPAC,MG,Frida_5.5_Dataset.ods
103339,PROT,MG,Frida_5.5_Dataset.ods
103340,PUTRSC,MG,Frida_5.5_Dataset.ods
103341,PageEnd,MG,Frida_5.5_Dataset.ods
103342,PageStart,MG,Frida_5.5_Dataset.ods
103343,Pantotensyre,MG,Frida_5.5_Dataset.ods
103344,ParameterGruppeNavn,MG,Frida_5.5_Dataset.ods
103345,ParameterNavn,MG,Frida_5.5_Dataset.ods
103346,Phenylalanin,MG,Frida_5.5_Dataset.ods
103347,Phenylethylamin,MG,Frida_5.5_Dataset.ods
103348,Phenylethylamine,MG,Frida_5.5_Dataset.ods
103349,Polyumættede fedtsyrer,MG,Frida_5.5_Dataset.ods
103350,Prolin,MG,Frida_5.5_Dataset.ods
103351,Propionsyre,MG,Frida_5.5_Dataset.ods
103352,Publisher,MG,Frida_5.5_Dataset.ods
103353,Putrescin,MG,Frida_5.5_Dataset.ods
103354,Putrescine,MG,Frida_5.5_Dataset.ods
103355,RAFS,MG,Frida_5.5_Dataset.ods
103356,RETOLAT,MG,Frida_5.5_Dataset.ods
103357,RIBF,MG,Frida_5.5_Dataset.ods
103358,ReportNumber,MG,Frida_5.5_Dataset.ods
103359,ResVal,MG,Frida_5.5_Dataset.ods
103360,Riboflavin (B2-vitamin),MG,Frida_5.5_Dataset.ods
103361,Riboflavin (Vitamin B2),MG,Frida_5.5_Dataset.ods
103362,SER,MG,Frida_5.5_Dataset.ods
103363,SEROTN,MG,Frida_5.5_Dataset.ods
103364,SMILES,MG,Frida_5.5_Dataset.ods
103365,SORTL,MG,Frida_5.5_Dataset.ods
103366,SPERDN,MG,Frida_5.5_Dataset.ods
103367,SPERN,MG,Frida_5.5_Dataset.ods
103368,SUCS,MG,Frida_5.5_Dataset.ods
103369,SUGAD,MG,Frida_5.5_Dataset.ods
103370,SUGAR,MG,Frida_5.5_Dataset.ods
103371,Sakkarose,MG,Frida_5.5_Dataset.ods
103372,Salt deklaration,MG,Frida_5.5_Dataset.ods
103373,Salt labelling,MG,Frida_5.5_Dataset.ods
103374,Selen,MG,Frida_5.5_Dataset.ods
103375,Serin,MG,Frida_5.5_Dataset.ods
103376,Serotonin,MG,Frida_5.5_Dataset.ods
103377,Silicium,MG,Frida_5.5_Dataset.ods
103378,SortKey,MG,Frida_5.5_Dataset.ods
103379,Spermin,MG,Frida_5.5_Dataset.ods
103380,Spermine,MG,Frida_5.5_Dataset.ods
103381,Starch/Glycogen,MG,Frida_5.5_Dataset.ods
103382,Steroler,MG,Frida_5.5_Dataset.ods
103383,Sterols,MG,Frida_5.5_Dataset.ods
103384,Stivelse/Glykogen,MG,Frida_5.5_Dataset.ods
103385,Sukkerstoffer,MG,Frida_5.5_Dataset.ods
103386,Svind,MG,Frida_5.5_Dataset.ods
103387,Svovl,MG,Frida_5.5_Dataset.ods
103388,TAU,MG,Frida_5.5_Dataset.ods
