id,name,unit_name,source
99232,F19D1N11(g),MG,BioFoodComp4.0.xlsx
99233,F20D0(g),MG,BioFoodComp4.0.xlsx
99234,F20D1(g),MG,BioFoodComp4.0.xlsx
99235,F20D1C(g),MG,BioFoodComp4.0.xlsx
99236,F20D1CN11(g),MG,BioFoodComp4.0.xlsx
99237,F20D1CN9(g),MG,BioFoodComp4.0.xlsx
99238,F20D1N11(g),MG,BioFoodComp4.0.xlsx
99239,F20D1N11_A_F20D1N13(g),MG,BioFoodComp4.0.xlsx
99240,F20D1N12(g),MG,BioFoodComp4.0.xlsx
99241,F20D1N7(g),MG,BioFoodComp4.0.xlsx
99242,F20D1N7_A_F20D1N9(g),MG,BioFoodComp4.0.xlsx
99243,F20D1N8(g),MG,BioFoodComp4.0.xlsx
99244,F20D1N9(g),MG,BioFoodComp4.0.xlsx
99245,F20D1N9_A_F20D1N11(g),MG,BioFoodComp4.0.xlsx
99246,F20D1T(g),MG,BioFoodComp4.0.xlsx
99247,F20D2(g),MG,BioFoodComp4.0.xlsx
99248,F20D2C(g),MG,BioFoodComp4.0.xlsx
99249,F20D2CN6(g),MG,BioFoodComp4.0.xlsx
99250,F20D2N6(g),MG,BioFoodComp4.0.xlsx
99251,F20D2N9(g),MG,BioFoodComp4.0.xlsx
99252,F20D3(g),MG,BioFoodComp4.0.xlsx
99253,F20D3N3(g),MG,BioFoodComp4.0.xlsx
99254,F20D3N3_A_F20D4N6(g),MG,BioFoodComp4.0.xlsx
99255,F20D3N6(g),MG,BioFoodComp4.0.xlsx
99256,F20D3N9(g),MG,BioFoodComp4.0.xlsx
99257,F20D4(g),MG,BioFoodComp4.0.xlsx
99258,F20D4CN6(g),MG,BioFoodComp4.0.xlsx
99259,F20D4N3(g),MG,BioFoodComp4.0.xlsx
99260,F20D4N6(g),MG,BioFoodComp4.0.xlsx
99261,F20D4N6_A_F22D1(g),MG,BioFoodComp4.0.xlsx
99262,F20D5(g),MG,BioFoodComp4.0.xlsx
99263,F20D5CN3(g),MG,BioFoodComp4.0.xlsx
99264,F20D5N3(g),MG,BioFoodComp4.0.xlsx
99265,F21D0(g),MG,BioFoodComp4.0.xlsx
99266,F21D5N3(g),MG,BioFoodComp4.0.xlsx
99267,F22D0(g),MG,BioFoodComp4.0.xlsx
99268,F22D1(g),MG,BioFoodComp4.0.xlsx
99269,F22D1C(g),MG,BioFoodComp4.0.xlsx
99270,F22D1N11(g),MG,BioFoodComp4.0.xlsx
99271,F22D1N11_A_F22D1N13(g),MG,BioFoodComp4.0.xlsx
99272,F22D1N7(g),MG,BioFoodComp4.0.xlsx
99273,F22D1N9(g),MG,BioFoodComp4.0.xlsx
99274,F22D1N9_A_F22D1N11(g),MG,BioFoodComp4.0.xlsx
99275,F22D1T(g),MG,BioFoodComp4.0.xlsx
99276,F22D2(g),MG,BioFoodComp4.0.xlsx
99277,F22D2C(g),MG,BioFoodComp4.0.xlsx
99278,F22D2CN6(g),MG,BioFoodComp4.0.xlsx
99279,F22D2N6(g),MG,BioFoodComp4.0.xlsx
99280,F22D2N6(g).1,MG,BioFoodComp4.0.xlsx
99281,F22D2N9(g),MG,BioFoodComp4.0.xlsx
99282,F22D3N3(g),MG,BioFoodComp4.0.xlsx
99283,F22D3N6(g),MG,BioFoodComp4.0.xlsx
99284,F22D4(g),MG,BioFoodComp4.0.xlsx
99285,F22D4N3(g),MG,BioFoodComp4.0.xlsx
99286,F22D4N6(g),MG,BioFoodComp4.0.xlsx
99287,F22D4N9(g),MG,BioFoodComp4.0.xlsx
99288,F22D5(g),MG,BioFoodComp4.0.xlsx
99289,F22D5N3(g),MG,BioFoodComp4.0.xlsx
99290,F22D5N6(g),MG,BioFoodComp4.0.xlsx
99291,F22D6(g),MG,BioFoodComp4.0.xlsx
99292,F22D6CN3(g),MG,BioFoodComp4.0.xlsx
99293,F22D6N3(g),MG,BioFoodComp4.0.xlsx
99294,F22D6N6(g),MG,BioFoodComp4.0.xlsx
