generic_nutrient_id	generic_name	generic_compact	specific_nutrient_id	specific_name	specific_compact	specific_source	rule
96876	Insoluble dietary fibers	insoluble dietary fibers	1079	Fiber, total dietary	fiber total dietary	existing	alias_to_canonical
97010	Neutral detergent fibre	neutral detergent fibre	1079	Fiber, total dietary	fiber total dietary	existing	alias_to_canonical
97229	SUGAR	sugar	260230	Carbohydrate, by difference	carbohydrate by difference	existing	carb_alias
260230	Carbohydrate, by difference	carbohydrate by difference	1009	Starch	starch	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1010	Sucrose	sucrose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1011	Glucose	glucose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1012	Fructose	fructose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1013	Lactose	lactose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1014	Maltose	maltose	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1015	Amylose	amylose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1016	Amylopectin	amylopectin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1017	Pectin	pectin	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1019	Pentosan	pentosan	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1020	Pentoses	pentoses	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1021	Hemicellulose	hemicellulose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1022	Cellulose	cellulose	existing	carb_to_complex_carbs
260230	Carbohydrate, by difference	carbohydrate by difference	1055	Mannitol	mannitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1056	Sorbitol	sorbitol	existing	carb_to_sugars
260230	Carbohydrate, by difference	carbohydrate by difference	1065	Glycogen	glycogen	existing	carb_to_complex_carbs
