nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
250057	Fatty acid 16:4	fatty acid 16:4	fatty acid 16:4	fatty acid 16:4	fatty acid 16 4	0	1004	lipid	fat_to_fatty_acids
250058	Fatty acid 18:2 n-6	fatty acid 18:2 n-6	fatty acid 18:2 n-6	fatty acid 18:2 n-6	fatty acid 18 2 n 6	0	1004	lipid	fat_to_fatty_acids
250059	Fatty acid 18:3 n-3	fatty acid 18:3 n-3	fatty acid 18:3 n-3	fatty acid 18:3 n-3	fatty acid 18 3 n 3	0	1004	lipid	fat_to_fatty_acids
250060	Fatty acid 18:3 n-6	fatty acid 18:3 n-6	fatty acid 18:3 n-6	fatty acid 18:3 n-6	fatty acid 18 3 n 6	0	1004	lipid	fat_to_fatty_acids
250061	Fatty acid 18:4 n-3	fatty acid 18:4 n-3	fatty acid 18:4 n-3	fatty acid 18:4 n-3	fatty acid 18 4 n 3	0	1004	lipid	fat_to_fatty_acids
250062	Fatty acid 20:2 n-6	fatty acid 20:2 n-6	fatty acid 20:2 n-6	fatty acid 20:2 n-6	fatty acid 20 2 n 6	0	1004	lipid	fat_to_fatty_acids
250063	Fatty acid 20:3 n-6	fatty acid 20:3 n-6	fatty acid 20:3 n-6	fatty acid 20:3 n-6	fatty acid 20 3 n 6	0	1004	lipid	fat_to_fatty_acids
250064	Fatty acid 20:4 n-3	fatty acid 20:4 n-3	fatty acid 20:4 n-3	fatty acid 20:4 n-3	fatty acid 20 4 n 3	0	1004	lipid	fat_to_fatty_acids
250065	Fatty acid 20:4 n-6	fatty acid 20:4 n-6	fatty acid 20:4 n-6	fatty acid 20:4 n-6	fatty acid 20 4 n 6	0	1004	lipid	fat_to_fatty_acids
250066	Fatty acid 20:5 n-3	fatty acid 20:5 n-3	fatty acid 20:5 n-3	fatty acid 20:5 n-3	fatty acid 20 5 n 3	0	1004	lipid	fat_to_fatty_acids
250067	Fatty acid 21:5 n-3	fatty acid 21:5 n-3	fatty acid 21:5 n-3	fatty acid 21:5 n-3	fatty acid 21 5 n 3	0	1004	lipid	fat_to_fatty_acids
250068	Fatty acid 22:2	fatty acid 22:2	fatty acid 22:2	fatty acid 22:2	fatty acid 22 2	0	1004	lipid	fat_to_fatty_acids
250069	Fatty acid 22:4 n-6	fatty acid 22:4 n-6	fatty acid 22:4 n-6	fatty acid 22:4 n-6	fatty acid 22 4 n 6	0	1004	lipid	fat_to_fatty_acids
250070	Fatty acid 22:5 n-3	fatty acid 22:5 n-3	fatty acid 22:5 n-3	fatty acid 22:5 n-3	fatty acid 22 5 n 3	0	1004	lipid	fat_to_fatty_acids
250071	Fatty acid 22:5 n-6	fatty acid 22:5 n-6	fatty acid 22:5 n-6	fatty acid 22:5 n-6	fatty acid 22 5 n 6	0	1004	lipid	fat_to_fatty_acids
250072	Fatty acid 22:6 n-3	fatty acid 22:6 n-3	fatty acid 22:6 n-3	fatty acid 22:6 n-3	fatty acid 22 6 n 3	0	1004	lipid	fat_to_fatty_acids
260001	13-cis-retinol (µg)	13-cis-retinol (µg)	13-cis-retinol (µg)	13-cis-retinol	13 cis retinol g	0	1004	lipid	fat_to_fatty_acids
260002	25-hydroxy vitamin D3 (µg)	25-hydroxy vitamin d3 (µg)	25-hydroxy vitamin d3 (µg)	25-hydroxy vitamin d3	25 hydroxy vitamin d3 g	0			
260003	5-mehtyl folate (µg)	5-mehtyl folate (µg)	5-mehtyl folate (µg)	5-mehtyl folate	5 mehtyl folate g	0			
260004	All-trans-retinol (µg)	all-trans-retinol (µg)	all-trans-retinol (µg)	all-trans-retinol	all trans retinol g	0	1004	lipid	fat_to_fatty_acids
260005	Alpha-carotene (µg)	alpha-carotene (µg)	alpha-carotene (µg)	alpha-carotene	alpha carotene g	0	1004	lipid	fat_to_fatty_acids
260006	Alpha-tocopherol (mg)	alpha-tocopherol	alpha-tocopherol	alpha-tocopherol	alpha tocopherol	0	1158	vitamin e	vitamin_e_to_vit_e_forms_existing
260007	Alpha-tocotrienol (mg)	alpha-tocotrienol	alpha-tocotrienol	alpha-tocotrienol	alpha tocotrienol	0	1158	vitamin e	vitamin_e_to_vit_e_forms_existing
260008	Beta-carotene (µg)	beta-carotene (µg)	beta-carotene (µg)	beta-carotene	beta carotene g	0	1004	lipid	fat_to_fatty_acids
260009	Beta-tocopherol (mg)	beta-tocopherol	beta-tocopherol	beta-tocopherol	beta tocopherol	0	1158	vitamin e	vitamin_e_to_vit_e_forms_existing
260010	Branched chain FA /100g FA (g)	branched chain fa/100g fa	branched chain fa/100g fa	branched chain fa/100g fa	branched chain fa 100g fa	0			
260011	Branched chain FA /100g food (g)	branched chain fa/100g food	branched chain fa/100g food	branched chain fa/100g food	branched chain fa 100g food	0			
260012	Brassicasterol (mg)	brassicasterol	brassicasterol	brassicasterol	brassicasterol	0			
260013	C10:0 /100g FA (g)	c10:0/100g fa	c10:0/100g fa	c10:0/100g fa	c10 0 100g fa	0			
260014	C10:0 /100g food (g)	c10:0/100g food	c10:0/100g food	c10:0/100g food	c10 0 100g food	0			
260015	C10:1 /100g FA (g)	c10:1/100g fa	c10:1/100g fa	c10:1/100g fa	c10 1 100g fa	0			
260016	C10:1 /100g food (g)	c10:1/100g food	c10:1/100g food	c10:1/100g food	c10 1 100g food	0			
